WeekStarting,Store,Brand,forecast
1992-06-04,1000,dominicks,11233.323521205359
1992-06-11,1000,dominicks,14025.276715959826
1992-06-18,1000,dominicks,16446.54603794643
1992-06-25,1000,dominicks,16935.702985491072
1992-07-02,1000,dominicks,10250.139648437504
1992-07-09,1000,dominicks,18073.129882812504
1992-07-16,1000,dominicks,11732.17250279018
1992-07-23,1000,dominicks,13070.80740792411
1992-07-30,1000,dominicks,19618.153738839286
1992-08-06,1000,dominicks,9410.231375558036
1992-08-13,1000,dominicks,11700.47572544643
1992-08-20,1000,dominicks,14528.859165736609
1992-08-27,1000,dominicks,18441.928989955362
1992-09-03,1000,dominicks,11120.517787388397
1992-09-10,1000,dominicks,13103.06047712054
1992-09-17,1000,dominicks,11323.05189732143
1992-09-24,1000,dominicks,13226.479492187502
1992-10-01,1000,dominicks,12240.949218750002
1992-06-04,1000,minute.maid,17093.332728794645
1992-06-11,1000,minute.maid,11577.89383370536
1992-06-18,1000,minute.maid,17387.39969308036
1992-06-25,1000,minute.maid,14539.051409040181
1992-07-02,1000,minute.maid,16002.543457031252
1992-07-09,1000,minute.maid,19410.801618303576
1992-07-16,1000,minute.maid,19531.0791015625
1992-07-23,1000,minute.maid,17867.089146205362
1992-07-30,1000,minute.maid,10974.390694754464
1992-08-06,1000,minute.maid,11761.016462053574
1992-08-13,1000,minute.maid,12333.76018415179
1992-08-20,1000,minute.maid,16701.2568359375
1992-08-27,1000,minute.maid,13383.100306919645
1992-09-03,1000,minute.maid,14949.118233816966
1992-09-10,1000,minute.maid,14349.968470982145
1992-09-17,1000,minute.maid,9198.611886160716
1992-09-24,1000,minute.maid,16707.11648995536
1992-10-01,1000,minute.maid,16103.201381138397
1992-06-04,1000,tropicana,10587.253208705359
1992-06-11,1000,tropicana,9633.63246372768
1992-06-18,1000,tropicana,15759.063685825899
1992-06-25,1000,tropicana,19017.34221540179
1992-07-02,1000,tropicana,18510.36356026786
1992-07-09,1000,tropicana,17540.421595982145
1992-07-16,1000,tropicana,11425.98681640625
1992-07-23,1000,tropicana,14704.334054129467
1992-07-30,1000,tropicana,17451.70633370536
1992-08-06,1000,tropicana,16383.962611607147
1992-08-13,1000,tropicana,19653.960937500004
1992-08-20,1000,tropicana,10849.25795200893
1992-08-27,1000,tropicana,11185.41713169643
1992-09-03,1000,tropicana,15007.564174107145
1992-09-10,1000,tropicana,16532.08914620536
1992-09-17,1000,tropicana,18315.00111607143
1992-09-24,1000,tropicana,15450.69719587054
1992-10-01,1000,tropicana,12899.107979910716
1992-06-04,1001,dominicks,17533.166155133935
1992-06-11,1001,dominicks,17750.278738839286
1992-06-18,1001,dominicks,17813.913922991072
1992-06-25,1001,dominicks,11091.574567522322
1992-07-02,1001,dominicks,15731.290736607143
1992-07-09,1001,dominicks,10894.869349888395
1992-07-16,1001,dominicks,16146.636230468754
1992-07-23,1001,dominicks,14232.977260044647
1992-07-30,1001,dominicks,9303.940778459822
1992-08-06,1001,dominicks,9212.98646763393
1992-08-13,1001,dominicks,15157.623046875004
1992-08-20,1001,dominicks,15566.765555245538
1992-08-27,1001,dominicks,14283.719238281254
1992-09-03,1001,dominicks,12312.990792410717
1992-09-10,1001,dominicks,15301.81898716518
1992-09-17,1001,dominicks,16200.948939732145
1992-09-24,1001,dominicks,18742.234235491072
1992-10-01,1001,dominicks,11265.780622209822
1992-06-04,1001,minute.maid,18525.585937500004
1992-06-11,1001,minute.maid,9286.894321986607
1992-06-18,1001,minute.maid,10669.782226562504
1992-06-25,1001,minute.maid,17010.38490513393
1992-07-02,1001,minute.maid,11063.207938058034
1992-07-09,1001,minute.maid,19099.057477678572
1992-07-16,1001,minute.maid,19638.482421875004
1992-07-23,1001,minute.maid,11678.158761160716
1992-07-30,1001,minute.maid,16528.090820312504
1992-08-06,1001,minute.maid,18178.56361607143
1992-08-13,1001,minute.maid,9124.693219866072
1992-08-20,1001,minute.maid,13716.251464843754
1992-08-27,1001,minute.maid,18792.4345703125
1992-09-03,1001,minute.maid,18514.053571428576
1992-09-10,1001,minute.maid,18762.414760044645
1992-09-17,1001,minute.maid,14560.888881138397
1992-09-24,1001,minute.maid,9245.891601562502
1992-10-01,1001,minute.maid,11076.71010044643
1992-06-04,1001,tropicana,19471.776367187504
1992-06-11,1001,tropicana,14705.646414620538
1992-06-18,1001,tropicana,11411.322474888393
1992-06-25,1001,tropicana,18571.561383928576
1992-07-02,1001,tropicana,13463.922293526788
1992-07-09,1001,tropicana,11895.280691964286
1992-07-16,1001,tropicana,11817.095284598214
1992-07-23,1001,tropicana,12912.880789620538
1992-07-30,1001,tropicana,14284.899274553574
1992-08-06,1001,tropicana,9901.188825334822
1992-08-13,1001,tropicana,18382.230189732145
1992-08-20,1001,tropicana,12408.291224888395
1992-08-27,1001,tropicana,9675.471679687502
1992-09-03,1001,tropicana,13324.90813337054
1992-09-10,1001,tropicana,15143.171665736609
1992-09-17,1001,tropicana,17273.04715401786
1992-09-24,1001,tropicana,16909.81277901786
1992-10-01,1001,tropicana,13214.055873325897
1992-06-04,1002,dominicks,11969.298758370538
1992-06-11,1002,dominicks,16594.344308035714
1992-06-18,1002,dominicks,15100.054757254467
1992-06-25,1002,dominicks,10888.260044642859
1992-07-02,1002,dominicks,9387.454659598216
1992-07-09,1002,dominicks,9033.954031808036
1992-07-16,1002,dominicks,14377.152622767859
1992-07-23,1002,dominicks,13217.171316964288
1992-07-30,1002,dominicks,12299.31926618304
1992-08-06,1002,dominicks,17348.944196428576
1992-08-13,1002,dominicks,13691.232142857147
