Column1,WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
2020-06-14,2020-06-14,1000,dominicks,12003,1,2.59,31087.769999999997
2020-06-21,2020-06-21,1000,dominicks,10239,1,2.39,24471.210000000003
2020-06-28,2020-06-28,1000,dominicks,17917,1,2.48,44434.159999999996
2020-07-05,2020-07-05,1000,dominicks,14218,1,2.33,33127.94
2020-07-12,2020-07-12,1000,dominicks,15925,1,2.01,32009.249999999996
2020-07-19,2020-07-19,1000,dominicks,17850,1,2.17,38734.5
2020-07-26,2020-07-26,1000,dominicks,10576,1,1.97,20834.72
2020-08-02,2020-08-02,1000,dominicks,9912,1,2.26,22401.12
2020-08-09,2020-08-09,1000,dominicks,9571,1,2.11,20194.809999999998
2020-08-16,2020-08-16,1000,dominicks,15748,1,2.42,38110.159999999996
2020-08-23,2020-08-23,1000,dominicks,11419,1,2.18,24893.420000000002
2020-08-30,2020-08-30,1000,dominicks,10617,1,2.35,24949.95
2020-09-06,2020-09-06,1000,dominicks,16488,1,2.03,33470.64
2020-09-13,2020-09-13,1000,dominicks,9014,1,2.08,18749.12
2020-09-20,2020-09-20,1000,dominicks,9283,1,2.45,22743.350000000002
2020-09-27,2020-09-27,1000,dominicks,18631,1,2.04,38007.24
2020-10-04,2020-10-04,1000,dominicks,13200,1,2.64,34848.0
2020-10-11,2020-10-11,1000,dominicks,12650,1,2.45,30992.500000000004
2020-10-18,2020-10-18,1000,dominicks,15649,1,2.01,31454.489999999998
2020-10-25,2020-10-25,1000,dominicks,10965,1,2.02,22149.3
2020-11-01,2020-11-01,1000,dominicks,12527,1,2.65,33196.549999999996
2020-11-08,2020-11-08,1000,dominicks,14978,1,2.47,36995.66
2020-11-15,2020-11-15,1000,dominicks,18231,1,1.95,35550.45
2020-11-22,2020-11-22,1000,dominicks,11215,1,2.05,22990.749999999996
2020-11-29,2020-11-29,1000,dominicks,12217,1,2.42,29565.14
2020-12-06,2020-12-06,1000,dominicks,17960,1,1.91,34303.6
2020-12-13,2020-12-13,1000,dominicks,12054,1,2.47,29773.38
2020-12-20,2020-12-20,1000,dominicks,17290,1,2.05,35444.5
2020-12-27,2020-12-27,1000,dominicks,17638,1,2.28,40214.64
2020-06-14,2020-06-14,1000,minute.maid,11381,1,2.55,29021.55
2020-06-21,2020-06-21,1000,minute.maid,15100,1,2.39,36089.0
2020-06-28,2020-06-28,1000,minute.maid,12101,1,2.01,24323.01
2020-07-05,2020-07-05,1000,minute.maid,13007,1,2.6,33818.200000000004
